DateTime,CE pnl,PE pnl,PnL Combined
2024-08-09 15:29:00,3108.0,2600.0,5708.0
2024-08-16 10:15:00,0.0,0.0,0.0
2024-08-16 10:16:00,-231.0,153.0,-78.0
2024-08-16 10:17:00,-12.0,-154.0,-166.0
2024-08-16 10:18:00,-10.0,-392.0,-402.0
2024-08-16 10:19:00,54.0,-584.0,-530.0
2024-08-16 10:20:00,-21.0,-538.0,-559.0
2024-08-16 10:21:00,156.0,-904.0,-748.0
2024-08-16 10:22:00,191.0,-910.0,-719.0
2024-08-16 10:23:00,54.0,-550.0,-496.0
2024-08-16 10:24:00,52.0,-536.0,-484.0
2024-08-16 10:25:00,82.0,-603.0,-521.0
2024-08-16 10:26:00,116.0,-808.0,-692.0
2024-08-16 10:27:00,526.0,-1524.0,-998.0
2024-08-16 10:28:00,679.0,-2064.0,-1385.0
2024-08-16 10:29:00,724.0,-2140.0,-1416.0
2024-08-16 10:30:00,868.0,-2292.0,-1424.0
2024-08-16 10:31:00,1373.0,-3795.0,-2422.0
2024-08-16 10:32:00,1104.0,-2850.0,-1746.0
2024-08-16 10:33:00,1288.0,-3312.0,-2024.0
2024-08-16 10:34:00,1175.0,-3220.0,-2045.0
2024-08-16 10:35:00,1151.0,-2969.0,-1818.0
2024-08-16 10:36:00,1218.0,-3192.0,-1974.0
2024-08-16 10:37:00,965.0,-2483.0,-1518.0
2024-08-16 10:38:00,1095.0,-2762.0,-1667.0
2024-08-16 10:39:00,1164.0,-2827.0,-1663.0
2024-08-16 10:40:00,959.0,-2298.0,-1339.0
2024-08-16 10:41:00,645.0,-1660.0,-1015.0
2024-08-16 10:42:00,787.0,-2101.0,-1314.0
2024-08-16 10:43:00,1242.0,-2682.0,-1440.0
2024-08-16 10:44:00,894.0,-1988.0,-1094.0
2024-08-16 10:45:00,671.0,-1511.0,-840.0
2024-08-16 10:46:00,534.0,-1386.0,-852.0
2024-08-16 10:47:00,934.0,-1796.0,-862.0
2024-08-16 10:48:00,689.0,-1617.0,-928.0
2024-08-16 10:49:00,430.0,-1000.0,-570.0
2024-08-16 10:50:00,-1.0,-613.0,-614.0
2024-08-16 10:51:00,-43.0,-680.0,-723.0
2024-08-16 10:52:00,38.0,-741.0,-703.0
2024-08-16 10:53:00,-5.0,-699.0,-704.0
2024-08-16 10:54:00,166.0,-919.0,-753.0
2024-08-16 10:55:00,184.0,-853.0,-669.0
2024-08-16 10:56:00,168.0,-970.0,-802.0
2024-08-16 10:57:00,712.0,-1607.0,-895.0
2024-08-16 10:58:00,970.0,-1837.0,-867.0
2024-08-16 10:59:00,763.0,-1428.0,-665.0
2024-08-16 11:00:00,639.0,-1165.0,-526.0
2024-08-16 11:01:00,782.0,-1491.0,-709.0
2024-08-16 11:02:00,765.0,-1562.0,-797.0
2024-08-16 11:03:00,640.0,-1458.0,-818.0
2024-08-16 11:04:00,631.0,-1444.0,-813.0
2024-08-16 11:05:00,439.0,-1248.0,-809.0
2024-08-16 11:06:00,691.0,-1493.0,-802.0
2024-08-16 11:07:00,704.0,-1522.0,-818.0
2024-08-16 11:08:00,748.0,-1662.0,-914.0
