Date,"NIFTY_candle_5T_range_[50, 50]_delta_0,3_time_11,45_pnl_threshold_2846.84.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,35_time_13,00_pnl_threshold_3396.91.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,3_time_13,00_pnl_threshold_2430.59.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,4_time_09,30_pnl_threshold_8944.74.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,35_time_10,15_pnl_threshold_5376.32.csv"
2024-07-04,2865.37125,1246.4925,1246.4925,3239.24625,2644.785
2024-07-11,2992.48875,517.43625,1799.8275,-340.7625,1059.555
2024-07-18,-965.13,453.8775,1639.06125,-13783.47,-5380.8375
2024-07-25,2192.39625,1493.25,1616.62875,3553.30125,2405.505
2024-08-01,1781.13375,1354.91625,1549.33125,6391.0125,1452.12375
2024-08-08,1740.0075,3519.6525,2427.9375,251.985,4215.06
2024-08-14,2072.75625,2521.40625,1702.62,7755.65625,3792.58125
2024-08-22,1369.87125,1235.27625,1235.27625,5706.82125,3740.23875
2024-08-29,-14227.2975,-2447.0625,-2447.0625,-10864.74,-8671.93125
2024-09-05,2891.5425,2341.94625,2341.94625,4562.76375,4401.9975
2024-09-12,2884.065,3437.4,2498.97375,-14716.26,-9924.4275
2024-09-19,2476.54125,3441.13875,2263.4325,-1864.06875,1541.85375
2024-09-26,1695.1425,2383.0725,2121.36,2211.09,2424.19875
2024-10-03,2730.77625,1919.4675,1227.79875,-7035.7875,1182.93375
2024-10-10,2656.00125,2147.53125,2147.53125,5261.91,3052.30875
2024-10-17,2850.41625,1934.4225,2334.46875,1261.4475,2106.405
2024-10-24,2211.09,1855.90875,738.0225,8043.54,4906.72875
2024-10-31,2756.9475,1788.61125,1010.95125,2876.5875,1141.8075
2024-11-07,2446.63125,1908.25125,1908.25125,5456.325,4345.91625
2024-11-14,2685.91125,1758.70125,1758.70125,6499.43625,4749.70125
2024-11-21,1197.88875,2756.9475,2487.7575,9090.39,4813.26
2024-11-28,2891.5425,4087.9425,2577.4875,-9807.82875,-5151.40125
2024-12-05,1807.305,3710.32875,3250.4625,-2556.13875,1915.72875
2024-12-12,2850.41625,3388.79625,2427.9375,1444.64625,5101.14375
2024-12-19,2308.2975,2966.3175,2431.67625,8937.10125,4050.555
2024-12-26,1616.62875,-2202.58125,622.12125,1740.0075,4028.1225
